103.130.211.146 - - [28/Nov/2023:16:57:38 -0800] "GET /assets/images/johnwick4.png HTTP/1.1" 200 1808402
103.130.211.146 - - [28/Nov/2023:16:57:41 -0800] "GET /tailwind/flowbite.min.js HTTP/1.1" 200 75361
103.130.211.146 - - [28/Nov/2023:16:57:41 -0800] "GET /assets/images/aot.png HTTP/1.1" 200 1462721
103.130.211.146 - - [28/Nov/2023:16:57:41 -0800] "GET /assets/images/benphaxacsong.png HTTP/1.1" 200 1107388
103.130.211.146 - - [28/Nov/2023:16:57:42 -0800] "GET /assets/images/main.webp HTTP/1.1" 200 413487
103.130.211.146 - - [28/Nov/2023:16:57:44 -0800] "GET /assets/images/culaoxacsong.png HTTP/1.1" 200 1671961
103.130.211.146 - - [28/Nov/2023:16:57:50 -0800] "GET /assets/images/silenthill.png HTTP/1.1" 200 1773372
103.130.211.146 - - [28/Nov/2023:16:58:09 -0800] "GET /login HTTP/1.1" 200 19498
103.130.211.146 - - [28/Nov/2023:16:58:10 -0800] "GET /tailwind/tailwind.js HTTP/1.1" 304 -
103.130.211.146 - - [28/Nov/2023:16:58:10 -0800] "GET /assets/images/batman.gif HTTP/1.1" 200 3593295
103.130.211.146 - - [28/Nov/2023:16:58:12 -0800] "GET /assets/images/logo.png HTTP/1.1" 304 -
103.130.211.146 - - [28/Nov/2023:16:58:12 -0800] "GET /tailwind/flowbite.min.js HTTP/1.1" 304 -
103.130.211.146 - - [28/Nov/2023:16:58:29 -0800] "POST /login HTTP/1.1" 302 -
103.130.211.146 - - [28/Nov/2023:16:58:30 -0800] "GET /favicon.ico HTTP/1.1" 404 762
103.130.211.146 - - [28/Nov/2023:16:58:38 -0800] "POST /login HTTP/1.1" 302 -
103.130.211.146 - - [28/Nov/2023:16:58:40 -0800] "GET /login HTTP/1.1" 200 31176
103.130.211.146 - - [28/Nov/2023:16:58:42 -0800] "GET /assets/images/batman.gif HTTP/1.1" 200 3593295
103.130.211.146 - - [28/Nov/2023:16:58:56 -0800] "GET /showing HTTP/1.1" 200 54652
103.130.211.146 - - [28/Nov/2023:16:58:57 -0800] "GET /tailwind/tailwind.js HTTP/1.1" 304 -
